algorithm,iterations,optimal
GA,5,44.571
GA,5,54.776
GA,5,63.020
GA,10,49.878
GA,10,60.653
GA,10,61.224
GA,20,54.041
GA,20,55.020
GA,20,63.837
GA,30,53.388
GA,30,54.857
GA,30,64.898
GA,40,38.612
GA,40,39.673
GA,40,59.755
GA,50,50.041
GA,50,63.184
GA,100,56.408
GA,100,57.714
GA,200,62.612
GA,200,65.633
GA,500,65.633
GA,500,65.633
GA,1000,61.469
GA,1000,65.633
RHC,5,65.633
RHC,5,65.633
RHC,5,65.633
RHC,10,65.633
RHC,10,65.633
RHC,10,65.633
RHC,20,65.633
RHC,20,65.633
RHC,20,65.633
RHC,30,65.633
RHC,30,65.633
RHC,30,65.633
RHC,40,65.633
RHC,40,65.633
RHC,40,65.633
RHC,50,65.633
RHC,50,65.633
RHC,100,65.633
RHC,100,65.633
RHC,200,65.878
RHC,200,66.204
RHC,500,60.816
RHC,500,67.510
RHC,1000,68.816
RHC,1000,71.673
RHC,1500,68.571
RHC,1500,74.694
SA,5,34.367
SA,5,34.367
SA,5,34.367
SA,10,36.898
SA,10,65.633
SA,10,65.633
SA,20,42.041
SA,20,43.020
SA,20,65.633
SA,30,34.367
SA,30,34.367
SA,30,34.367
SA,40,52.245
SA,40,65.633
SA,40,65.633
SA,50,34.367
SA,50,34.367
SA,100,34.367
SA,100,34.367
SA,200,34.367
SA,200,34.367
SA,500,64.408
SA,500,64.490
SA,1000,64.408
SA,1000,70.531
SA,1500,72.571
SA,1500,73.143
Backprop,5,65.469
Backprop,5,65.633
Backprop,5,65.796
Backprop,10,65.469
Backprop,10,65.551
Backprop,10,65.714
Backprop,20,65.551
Backprop,20,65.633
Backprop,20,65.714
Backprop,30,65.551
Backprop,30,65.633
Backprop,30,65.796
Backprop,40,65.633
Backprop,40,65.714
Backprop,40,65.796
Backprop,50,65.796
Backprop,50,69.959
Backprop,100,63.347
Backprop,100,67.510
Backprop,200,72.898
Backprop,200,74.122
Backprop,500,68.163
Backprop,500,75.592
Backprop,1000,65.959
Backprop,1000,75.102
Backprop,1500,75.429
Backprop,1500,75.918
